Entry_Time,Type,Net_Pts,PnL_INR,Reason,Degree
2025-10-15 09:25:47.144,LONG,-21.399999999997817,-9629.999999999018,SL,2.92
2025-10-15 09:44:38.191,LONG,22.900000000001455,10305.000000000655,TIME,2.44
2025-10-15 10:20:18.827,SHORT,-21.0,-9450.0,SL,2.4
2025-10-15 10:27:48.947,SHORT,-26.0,-11700.0,SL,2.44
2025-10-15 10:59:45.636,SHORT,-13.099999999998545,-5894.999999999345,TIME,2.68
2025-10-15 11:38:14.787,SHORT,-1.0999999999985448,-494.99999999934516,TIME,2.32
2025-10-15 12:16:15.025,SHORT,-21.0,-9450.0,SL,2.2
2025-10-15 12:52:29.806,SHORT,-21.0,-9450.0,SL,2.08
2025-10-15 13:23:40.063,LONG,-23.200000000000728,-10440.000000000327,SL,2.72
2025-10-15 13:55:15.587,SHORT,13.099999999998545,5894.999999999345,TIME,2.56
2025-10-15 14:37:58.131,SHORT,21.599999999998545,9719.999999999345,TIME,2.12
2025-10-16 09:15:30.029,SHORT,-22.900000000001455,-10305.000000000655,SL,3.4
2025-10-16 09:29:10.756,LONG,-21.599999999998545,-9719.999999999345,SL,2.72
2025-10-16 09:45:28.060,SHORT,14.0,6300.0,TIME,2.28
2025-10-16 10:20:59.506,SHORT,-21.0,-9450.0,SL,2.2
2025-10-16 10:50:42.853,SHORT,-0.5,-225.0,TIME,2.28
2025-10-16 11:27:14.591,SHORT,-8.900000000001455,-4005.000000000655,TIME,2.2
2025-10-16 12:02:45.900,SHORT,-21.0,-9450.0,SL,2.08
2025-10-16 12:20:51.103,LONG,19.0,8550.0,TIME,2.56
2025-10-16 12:56:34.933,SHORT,-11.5,-5175.0,TIME,2.36
2025-10-16 13:32:35.168,SHORT,-21.0,-9450.0,SL,2.28
2025-10-16 13:52:51.910,SHORT,-21.0,-9450.0,SL,2.24
2025-10-16 14:13:54.720,SHORT,-22.799999999999272,-10259.999999999673,SL,2.64
2025-10-16 14:40:40.194,SHORT,36.099999999998545,16244.999999999345,TIME,2.72
2025-10-17 09:15:44.809,SHORT,-23.69999999999709,-10664.99999999869,SL,2.52
2025-10-17 09:31:28.901,LONG,-23.0,-10350.0,SL,2.96
2025-10-17 09:56:54.183,SHORT,-21.0,-9450.0,SL,2.48
2025-10-17 10:07:24.471,SHORT,-27.900000000001455,-12555.000000000655,SL,2.48
2025-10-17 10:16:13.809,SHORT,-21.0,-9450.0,SL,2.4
2025-10-17 10:37:31.894,SHORT,-21.0,-9450.0,SL,2.6
2025-10-17 10:57:54.593,LONG,60.900000000001455,27405.000000000655,TP,2.4
2025-10-17 11:33:39.970,SHORT,59.0,26550.0,TP,2.48
2025-10-17 11:57:56.795,LONG,30.19999999999709,13589.99999999869,TIME,2.2
2025-10-17 12:33:43.225,SHORT,62.20000000000073,27990.000000000327,TP,2.16
2025-10-17 12:57:06.313,LONG,-22.200000000000728,-9990.000000000327,SL,2.32
2025-10-17 13:10:24.552,LONG,-22.200000000000728,-9990.000000000327,SL,2.84
2025-10-17 13:40:55.301,LONG,-21.200000000000728,-9540.000000000327,SL,2.6
2025-10-17 13:57:15.820,LONG,59.29999999999927,26684.999999999673,TP,2.56
2025-10-17 14:26:16.932,SHORT,-21.0,-9450.0,SL,2.24
2025-10-17 14:42:21.539,SHORT,32.5,14625.0,TIME,2.32
2025-10-20 09:16:05.372,LONG,-21.5,-9675.0,SL,3.28
2025-10-20 09:30:15.158,LONG,-21.0,-9450.0,SL,2.72
2025-10-20 09:43:36.513,SHORT,-14.0,-6300.0,TIME,2.76
2025-10-20 10:22:58.729,SHORT,-21.599999999998545,-9719.999999999345,SL,2.12
2025-10-20 10:45:26.688,SHORT,-21.0,-9450.0,SL,2.44
2025-10-20 11:08:17.211,SHORT,23.299999999999272,10484.999999999673,TIME,2.48
2025-10-20 11:43:59.493,SHORT,-16.200000000000728,-7290.000000000327,TIME,2.28
2025-10-20 12:23:06.267,SHORT,-21.200000000000728,-9540.000000000327,SL,2.16
2025-10-20 12:47:23.494,SHORT,-21.0,-9450.0,SL,2.08
