Entry_Time,Type,Entry,Exit,Net_Pts,PnL_INR,Reason
2025-10-17 13:00:12.838,SHORT,25745.1,25753.3,-9.200000000000728,-4140.000000000327,STOP
2025-10-17 13:17:18.779,LONG,25722.7,25739.9,16.200000000000728,7290.000000000327,TARGET
2025-10-17 13:35:50.328,SHORT,25674.2,25682.0,-8.799999999999272,-3959.9999999996726,STOP
2025-10-17 13:57:56.624,LONG,25700.0,25715.0,14.0,6300.0,TARGET
2025-10-17 14:17:34.493,LONG,25738.3,25754.0,14.700000000000728,6615.000000000327,TARGET
2025-10-17 14:34:55.376,SHORT,25750.0,25759.9,-10.900000000001455,-4905.000000000655,STOP
2025-10-17 14:50:45.583,LONG,25779.9,25767.0,-13.900000000001455,-6255.000000000655,STOP
2025-10-17 15:07:53.609,SHORT,25763.1,25770.3,-8.200000000000728,-3690.0000000003274,STOP
2025-10-20 09:16:11.885,LONG,25969.1,25961.8,-8.299999999999272,-3734.9999999996726,STOP
2025-10-20 09:32:37.526,LONG,25932.0,25921.3,-11.700000000000728,-5265.000000000327,STOP
2025-10-20 09:49:03.666,LONG,25884.0,25875.0,-10.0,-4500.0,STOP
2025-10-20 10:11:31.906,SHORT,25881.4,25888.9,-8.5,-3825.0,STOP
2025-10-20 10:46:08.908,LONG,25912.0,25905.0,-8.0,-3600.0,STOP
2025-10-20 11:19:05.925,SHORT,25885.6,25892.6,-8.0,-3600.0,STOP
2025-10-20 11:39:20.464,SHORT,25882.3,25890.0,-8.700000000000728,-3915.0000000003274,STOP
2025-10-20 12:16:44.167,SHORT,25894.8,25902.4,-8.600000000002183,-3870.0000000009823,STOP
2025-10-20 13:04:06.816,LONG,25947.0,25939.9,-8.099999999998545,-3644.999999999345,STOP
2025-10-20 13:51:08.292,SHORT,25886.4,25894.2,-8.799999999999272,-3959.9999999996726,STOP
2025-10-20 14:07:18.824,SHORT,25893.0,25900.0,-8.0,-3600.0,STOP
2025-10-20 14:29:39.822,LONG,25875.0,25868.0,-8.0,-3600.0,STOP
2025-10-20 14:47:09.316,LONG,25878.6,25893.6,14.0,6300.0,TARGET
2025-10-20 15:09:41.388,LONG,25913.0,25929.0,15.0,6750.0,TARGET
2025-10-23 09:21:18.432,SHORT,26076.9,26084.6,-8.69999999999709,-3914.9999999986903,STOP
2025-10-23 09:39:13.436,SHORT,26152.0,26159.6,-8.599999999998545,-3869.999999999345,STOP
2025-10-23 09:57:59.300,LONG,26116.0,26132.0,15.0,6750.0,TARGET
2025-10-23 10:18:38.954,LONG,26167.0,26158.0,-10.0,-4500.0,STOP
2025-10-23 10:42:14.125,SHORT,26141.0,26125.0,15.0,6750.0,TARGET
2025-10-23 11:04:08.016,SHORT,26128.0,26135.0,-8.0,-3600.0,STOP
2025-10-23 11:31:35.815,SHORT,26115.6,26125.0,-10.400000000001455,-4680.000000000655,STOP
2025-10-23 11:52:03.220,LONG,26155.0,26147.3,-8.700000000000728,-3915.0000000003274,STOP
2025-10-23 12:24:20.285,LONG,26170.9,26163.1,-8.80000000000291,-3960.0000000013097,STOP
2025-10-23 12:52:44.865,SHORT,26143.0,26127.3,14.700000000000728,6615.000000000327,TARGET
2025-10-23 13:31:08.330,SHORT,26117.0,26101.3,14.700000000000728,6615.000000000327,TARGET
2025-10-23 13:58:43.094,SHORT,26062.2,26045.0,16.200000000000728,7290.000000000327,TARGET
2025-10-23 14:20:04.242,SHORT,26025.0,26010.0,14.0,6300.0,TARGET
2025-10-23 14:37:22.751,SHORT,26022.0,26029.0,-8.0,-3600.0,STOP
2025-10-23 14:54:39.629,LONG,26052.2,26045.1,-8.100000000002183,-3645.0000000009823,STOP
2025-10-23 15:13:07.559,LONG,25964.2,25956.6,-8.600000000002183,-3870.0000000009823,STOP
2025-10-24 09:16:04.147,LONG,25962.3,25953.0,-10.299999999999272,-4634.999999999673,STOP
2025-10-24 09:33:04.760,SHORT,25942.2,25949.8,-8.599999999998545,-3869.999999999345,STOP
2025-10-24 09:50:30.489,SHORT,25946.2,25931.0,14.200000000000728,6390.000000000327,TARGET
2025-10-24 10:10:51.590,SHORT,25950.0,25957.9,-8.900000000001455,-4005.000000000655,STOP
2025-10-24 10:27:34.718,LONG,25885.3,25878.2,-8.099999999998545,-3644.999999999345,STOP
2025-10-24 10:46:37.145,SHORT,25848.4,25857.1,-9.69999999999709,-4364.99999999869,STOP
2025-10-24 11:08:40.021,LONG,25858.0,25851.0,-8.0,-3600.0,STOP
2025-10-24 11:36:32.524,LONG,25869.3,25861.5,-8.799999999999272,-3959.9999999996726,STOP
2025-10-24 12:00:15.531,SHORT,25878.8,25885.9,-8.100000000002183,-3645.0000000009823,STOP
2025-10-24 12:18:36.018,SHORT,25887.1,25894.2,-8.100000000002183,-3645.0000000009823,STOP
2025-10-24 12:43:20.588,LONG,25885.3,25878.1,-8.200000000000728,-3690.0000000003274,STOP
2025-10-24 13:08:33.582,LONG,25855.0,25847.4,-8.599999999998545,-3869.999999999345,STOP
2025-10-24 13:24:52.309,SHORT,25823.0,25830.0,-8.0,-3600.0,STOP
2025-10-24 13:42:38.051,LONG,25765.0,25757.6,-8.400000000001455,-3780.000000000655,STOP
2025-10-24 14:00:24.365,LONG,25772.1,25762.6,-10.5,-4725.0,STOP
2025-10-24 14:17:06.813,LONG,25792.7,25785.1,-8.600000000002183,-3870.0000000009823,STOP
2025-10-24 14:36:10.598,SHORT,25777.1,25784.8,-8.700000000000728,-3915.0000000003274,STOP
2025-10-24 14:57:04.928,SHORT,25777.9,25785.0,-8.099999999998545,-3644.999999999345,STOP
2025-10-24 15:17:05.396,SHORT,25810.2,25817.9,-8.700000000000728,-3915.0000000003274,STOP
2025-10-27 09:16:07.875,LONG,25921.0,25913.7,-8.299999999999272,-3734.9999999996726,STOP
2025-10-27 09:32:06.261,SHORT,25945.1,25955.0,-10.900000000001455,-4905.000000000655,STOP
2025-10-27 09:49:08.289,LONG,26002.9,25995.8,-8.100000000002183,-3645.0000000009823,STOP
2025-10-27 10:10:20.579,LONG,26047.0,26039.9,-8.099999999998545,-3644.999999999345,STOP
2025-10-27 10:28:21.587,SHORT,26027.8,26034.9,-8.100000000002183,-3645.0000000009823,STOP
2025-10-27 10:49:45.111,SHORT,26017.0,26024.8,-8.799999999999272,-3959.9999999996726,STOP
2025-10-27 11:14:40.656,SHORT,26033.9,26041.5,-8.599999999998545,-3869.999999999345,STOP
2025-10-27 11:44:22.353,LONG,26022.0,26012.2,-10.799999999999272,-4859.999999999673,STOP
2025-10-27 12:03:28.640,LONG,26065.4,26058.1,-8.30000000000291,-3735.0000000013097,STOP
2025-10-27 12:31:51.718,SHORT,26013.0,26020.0,-8.0,-3600.0,STOP
2025-10-27 12:51:05.217,LONG,26019.8,26012.3,-8.5,-3825.0,STOP
2025-10-27 13:09:16.160,SHORT,26012.4,25997.3,14.100000000002183,6345.000000000982,TARGET
2025-10-27 13:33:12.946,SHORT,25970.1,25977.9,-8.80000000000291,-3960.0000000013097,STOP
2025-10-27 13:55:26.687,SHORT,26001.3,26008.3,-8.0,-3600.0,STOP
2025-10-27 14:13:25.719,SHORT,25985.2,25993.0,-8.799999999999272,-3959.9999999996726,STOP
2025-10-27 14:36:39.523,LONG,26035.0,26027.2,-8.799999999999272,-3959.9999999996726,STOP
2025-10-27 14:56:19.074,LONG,25999.9,25992.5,-8.400000000001455,-3780.000000000655,STOP
2025-10-28 09:16:03.874,SHORT,26016.2,26024.9,-9.700000000000728,-4365.000000000327,STOP
